counter	timestamp	deadtime	chA_height	chA_position	chA_integral	chB_height	chB_position	chB_integral	chC_height	chC_position	chC_integral	chD_height	chD_position	chD_integral
130	1679327162920665.5	0.08362369337979095	320.08536	100	6.612034e-08	204.67416	100	4.2691916e-08	213.75699	100	4.480943017578125e-08	422.51556	100	8.872199e-08
131	1679327162939368.5	0.00834287167747679	359.9753	100	7.543114e-08	141.67615	100	2.91449e-08	295.32822	100	6.23268681640625e-08	541.932	100	1.13797824e-07
132	1679327162947515.0	0.014385737820663685	347.24625	100	7.2962926e-08	286.4306	100	6.176132e-08	511.60565	100	1.0704334619140626e-07	369.99615	100	7.6966025e-08
133	1679327162959438.0	0.01887614633470002	339.90378	100	7.033181e-08	206.73602	100	4.4842405e-08	0.0	0	0.0	0.0	0	0.0
134	1679327162964095.0	0.02586433030795866	379.4838	100	7.877147e-08	360.64236	100	7.580987e-08	488.1431	100	1.0144963012695315e-07	113.64682	100	2.453465e-08
135	1679327163000239.0	0.009223870616694748	481.66473	100	9.6320356e-08	440.17	100	9.216868e-08	95.92087	101	2.177415087890625e-08	299.11328	100	6.238064e-08
136	1679327163002827.2	0.02161038961038961	406.9733	100	8.560091e-08	384.04498	100	8.05766e-08	290.671	100	6.173041528320313e-08	0.0	0	0.0
137	1679327163029201.5	0.008324577709528812	224.95963	100	4.8046616e-08	324.81226	100	6.7315064e-08	316.61673	100	6.699654516601563e-08	390.48825	100	8.2594674e-08
138	1679327163030685.5	0.08246527777777778	449.57043	100	9.458494e-08	237.87823	100	4.9600885e-08	272.87607	100	6.0004884765625e-08	414.0839	100	8.7375646e-08
139	1679327163048820.5	0.012590444844970352	409.39743	100	8.491968e-08	136.44104	100	2.7816498e-08	284.94888	100	5.9472576171875005e-08	382.55896	100	8.355956e-08
140	1679327163055682.2	0.006752894097470344	517.4094	483	1.0870042e-07	621.066	483	1.2922702e-07	0.0	0	0.0	0.0	0	0.0
141	1679327163064949.2	0.024131931310991755	321.39447	100	6.7089566e-08	342.4499	100	6.8148175e-08	359.21585	100	7.533614770507812e-08	365.28482	100	7.2725655e-08
142	1679327163069482.2	0.0394547681167137	103.562195	101	2.1906576e-08	118.957245	101	2.6184741e-08	500.40402	100	1.0452740576171876e-07	96.82251	101	2.2093944e-08
143	1679327163115523.5	0.0038525867738210514	255.096	100	5.411913e-08	334.83405	100	7.1040375e-08	346.9459	100	7.187181787109376e-08	307.76675	100	6.755886e-08
144	1679327163173261.0	0.003931680349849416	555.14044	100	1.16161935e-07	532.77435	100	1.1094985e-07	340.7537	100	7.059309521484376e-08	195.16754	100	4.061651e-08
145	1679327163192718.8	0.011725929374862156	267.4361	100	5.5705723e-08	555.61884	100	1.15635764e-07	777.9896	100	1.6242735302734374e-07	171.3269	100	3.63959e-08
146	1679327163196440.8	0.04332200731834814	289.03342	100	5.9857896e-08	318.6268	100	6.595775e-08	0.0	0	0.0	0.0	0	0.0
147	1679327163203334.0	0.01698218262806236	294.98904	100	6.453145e-08	571.9397	100	1.2024853e-07	214.37463	100	4.7055214355468754e-08	329.34583	100	6.8563374e-08
148	1679327163215365.0	0.009670451618017162	293.08762	100	6.113227e-08	320.07617	100	6.40346e-08	376.72705	100	7.848029174804689e-08	318.78793	100	6.5957515e-08
149	1679327163259168.8	0.0052330157696170235	60.58719	102	1.28184e-08	274.2232	100	5.680885e-08	332.58218	100	7.010305590820314e-08	489.73224	100	1.0246259e-07
150	1679327163292020.0	0.006902458320329228	333.2773	100	7.3189014e-08	181.72781	100	4.138176e-08	316.13788	100	6.921274682617188e-08	622.5427	100	1.2973713e-07
151	1679327163294846.2	0.04213952670009677	139.84958	100	3.0107678e-08	309.5711	100	6.5236414e-08	301.17316	100	6.592025830078125e-08	162.66763	100	3.3836432e-08
152	1679327163334343.0	0.005801636976408281	264.48584	100	5.5571665e-08	246.66351	100	5.105911e-08	507.02185	100	1.0600449365234375e-07	224.52347	100	4.8574236e-08
153	1679327163393196.2	0.00382048965469742	720.8941	100	1.5100893e-07	192.59918	100	3.9776545e-08	415.41687	100	8.755077490234375e-08	433.8353	100	9.0156426e-08
155	1679327163441834.8	0.004766349572021528	280.76334	100	6.0081014e-08	428.98154	100	9.064751e-08	229.00586	100	5.011866699218751e-08	311.32587	100	6.46923e-08
156	1679327163454775.2	0.0183927091963546	371.498	100	8.131179e-08	693.2747	100	1.4573212e-07	228.90257	100	4.7680316650390624e-08	113.56299	100	2.612855e-08
157	1679327163497412.8	0.005953079670652155	666.3364	100	1.3915586e-07	232.69934	100	4.8218407e-08	511.15897	100	1.0798034619140625e-07	329.24008	100	6.9703276e-08
158	1679327163526643.0	0.0079908582622536	342.45248	100	7.167413e-08	418.4799	100	8.776143e-08	0.0	0	0.0	0.0	0	0.0
159	1679327163538918.8	0.009454873575393789	350.49628	100	7.361015e-08	484.023	100	1.01368315e-07	350.87637	100	7.436924658203125e-08	343.73642	100	7.55386e-08
160	1679327163567407.0	0.008158265347788768	168.1861	100	3.5573713e-08	341.62936	100	7.173655e-08	306.5544	100	6.3943103515625e-08	383.11517	100	8.0118554e-08
161	1679327163596938.2	0.007840002583728967	315.38464	100	6.622902e-08	519.1239	100	1.0877005e-07	609.2193	100	1.2787345019531252e-07	353.53714	100	7.062668e-08
162	1679327163598338.8	0.07911094368054247	346.65695	100	7.2774974e-08	376.0471	100	8.243803e-08	509.69217	100	1.0724262719726562e-07	276.34506	100	5.9821744e-08
163	1679327163600240.8	0.05786979296582689	362.8828	100	7.54207e-08	361.32266	100	7.574479e-08	440.5005	100	9.150111059570313e-08	395.72733	100	8.302605e-08
164	1679327163644812.8	0.005232390685171159	467.41092	100	9.725102e-08	141.18604	100	2.9306024e-08	310.6385	100	6.551778442382813e-08	363.80984	100	7.687457e-08
165	1679327163649825.0	0.025925385475947273	365.26877	100	7.684321e-08	518.0596	100	1.08156684e-07	299.71432	100	6.291044433593751e-08	327.83948	100	6.530608e-08
166	1679327163654440.8	0.01119050120836398	351.04572	100	7.6945895e-08	402.6568	100	8.478717e-08	321.7648	100	7.076167749023438e-08	255.85786	100	5.3755482e-08
167	1679327163747536.8	0.0025098207599491902	488.79596	100	1.0216904e-07	0.0	0	0.0	385.35574	100	7.708227661132812e-08	203.78723	100	4.3994863e-08
168	1679327163749651.0	0.05134385922622635	345.3627	100	7.269927e-08	145.28595	100	3.3583575e-08	381.2052	100	8.012597753906251e-08	304.2015	100	6.400732e-08
